movie_id,image_seq,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,elapsed_time,gaze,blink,eye_offset
baa26895-85b2-465b-a972-649b41d9870e,10,2.06789,5.96E-06,28.4262,1.28748,10.2726,2.7265,55.2193,neutral,11,1,0,5.044
baa26895-85b2-465b-a972-649b41d9870e,11,0.0972984,1.60E-05,3.77299,1.53225,1.57547,0.0935644,92.9284,neutral,12,1,0,12.8541
baa26895-85b2-465b-a972-649b41d9870e,12,0.0689747,9.64E-06,0.0090291,95.8289,2.10264,0.000543198,1.98988,happy,13,1,0,19.8701
baa26895-85b2-465b-a972-649b41d9870e,13,57.1199,0.000353282,2.9175,8.67051,26.3226,1.01698,3.95222,angry,14,1,0,9.5355
baa26895-85b2-465b-a972-649b41d9870e,14,0.32412,3.53E-07,1.36477,0.394619,19.8152,0.012631,78.0886,neutral,15,0,0,45.7179
baa26895-85b2-465b-a972-649b41d9870e,15,2.68045,0.0107579,37.7917,57.1642,1.66856,0.553989,0.130294,happy,16,1,0,16.4891
baa26895-85b2-465b-a972-649b41d9870e,16,14.1265,0.205228,6.05291,58.868,15.8999,0.0680629,4.77945,happy,17,1,0,18.668
baa26895-85b2-465b-a972-649b41d9870e,17,0.00124491,2.96E-07,0.00197705,99.6608,0.333726,0.00010141,0.00218853,happy,18,0,0,33.5341
baa26895-85b2-465b-a972-649b41d9870e,18,0.525379,0.000147707,0.148705,98.008,0.779969,0.404756,0.133037,happy,19,0,0,31.399
baa26895-85b2-465b-a972-649b41d9870e,19,3.52508,0.00518526,4.19123,25.2618,66.5333,0.0518588,0.431606,sad,20,0,0,25.9673
baa26895-85b2-465b-a972-649b41d9870e,20,0.100109,2.20E-10,0.151341,0.018342,4.50262,0.0282951,95.1993,neutral,21,0,0,27.3944
baa26895-85b2-465b-a972-649b41d9870e,21,2.09007,0.000225827,0.969865,2.37247,2.07774,1.48069,91.0089,neutral,22,1,0,23.8309
baa26895-85b2-465b-a972-649b41d9870e,22,0.100857,6.76E-10,0.0197445,0.0442684,3.90082,0.0002515,95.9341,neutral,23,1,0,-13.5833
baa26895-85b2-465b-a972-649b41d9870e,23,50.7443,0.0952647,6.66073,19.1306,23.0299,0.0335082,0.305716,angry,24,0,0,41.7694
baa26895-85b2-465b-a972-649b41d9870e,24,58.0563,0.0606721,4.32809,2.55819,32.4077,0.114638,2.47437,angry,25,1,0,10.9585
baa26895-85b2-465b-a972-649b41d9870e,25,1.56202,2.98458,25.176,3.17016,66.7489,0.282382,0.0759453,sad,26,0,0,67.671
baa26895-85b2-465b-a972-649b41d9870e,26,91.0411,2.05103,0.939134,1.89614,3.23686,0.0787237,0.757053,angry,27,0,0,26.3526
baa26895-85b2-465b-a972-649b41d9870e,27,0.769484,9.03E-06,4.73877,0.869629,35.3246,0.156741,58.1407,neutral,28,1,0,19.5859
baa26895-85b2-465b-a972-649b41d9870e,28,0.143576,8.34E-06,0.87301,5.47976,2.30192,0.210534,90.9912,neutral,29,1,0,9.4709
baa26895-85b2-465b-a972-649b41d9870e,29,35.6362,0.214189,3.10201,1.10783,58.6522,0.00633079,1.28124,sad,30,1,0,24.2066
baa26895-85b2-465b-a972-649b41d9870e,30,0.0157572,5.29E-05,0.787987,95.0627,4.12589,0.000671014,0.00689103,happy,31,0,1,39.5409
baa26895-85b2-465b-a972-649b41d9870e,31,0.0151825,2.70E-06,1.19621,98.3003,0.479164,0.00853931,0.000628017,happy,32,0,0,29.0621
baa26895-85b2-465b-a972-649b41d9870e,32,15.5951,0.0123315,28.6396,11.5611,42.2299,0.136902,1.82505,sad,33,1,0,5.369
baa26895-85b2-465b-a972-649b41d9870e,33,9.47869,0.0186949,5.71444,16.7918,12.47,0.355075,55.1713,neutral,34,1,0,10.8436
baa26895-85b2-465b-a972-649b41d9870e,34,2.55E-05,1.60E-08,0.0139316,99.2966,0.685199,3.35E-06,0.00422493,happy,35,1,0,11.8478
baa26895-85b2-465b-a972-649b41d9870e,35,0.0823044,1.80E-08,1.57E-05,99.8007,0.0167358,5.56E-06,0.100274,happy,36,1,0,11.5106
baa26895-85b2-465b-a972-649b41d9870e,36,18.5638,0.451863,9.52192,10.6134,53.304,2.69726,4.84785,sad,37,1,0,-13.6531
baa26895-85b2-465b-a972-649b41d9870e,37,1.25251,2.18E-08,0.586024,0.11857,16.7016,0.0194708,81.3218,neutral,38,0,0,51.0281
baa26895-85b2-465b-a972-649b41d9870e,38,0.0682279,1.78E-06,0.116511,4.35664,1.61597,0.00454183,93.8381,neutral,39,1,0,14.3025
baa26895-85b2-465b-a972-649b41d9870e,39,8.42899,0.044001,2.29979,3.16007,66.4027,0.473394,19.1911,sad,40,0,1,55.1153
baa26895-85b2-465b-a972-649b41d9870e,40,9.52794,1.38849,15.2025,55.1033,10.8958,3.28055,4.60137,happy,41,1,0,9.7313
baa26895-85b2-465b-a972-649b41d9870e,41,0.616236,0.00496417,0.287743,98.0163,0.679811,0.279489,0.115491,happy,42,1,0,3.4143
baa26895-85b2-465b-a972-649b41d9870e,42,0.0157653,0.000398146,0.0663183,97.1518,2.5527,0.0152081,0.197791,happy,43,1,0,13.2841
baa26895-85b2-465b-a972-649b41d9870e,43,16.8171,0.120878,14.9152,3.51143,20.5855,33.8794,10.1705,surprise,44,1,0,21.0023
